start,end,value
2020-01-29 10:33:00,2020-01-29 22:05:00,7
2020-01-29 22:05:00,2020-01-30 00:21:00,8
2020-01-30 00:21:00,2020-01-30 02:47:00,7
2020-01-30 02:47:00,2020-01-30 05:08:00,8
2020-01-30 05:08:00,2020-01-30 10:53:00,7
2020-01-30 10:53:00,2020-01-30 16:41:00,8
2020-01-30 16:41:00,2020-01-30 21:53:00,9
2020-01-30 21:53:00,2020-01-31 05:09:00,8
2020-01-31 05:09:00,2020-01-31 09:54:00,7
2020-01-31 09:54:00,2020-01-31 11:41:00,6
2020-01-31 11:41:00,2020-01-31 11:59:00,7
2020-01-31 11:59:00,2020-01-31 12:14:00,8
2020-01-31 12:14:00,2020-01-31 12:53:00,7
2020-01-31 12:53:00,2020-01-31 17:47:00,8
2020-01-31 17:47:00,2020-01-31 18:02:00,9
2020-01-31 18:02:00,2020-01-31 20:22:00,8
2020-01-31 20:22:00,2020-01-31 22:53:00,7
2020-01-31 22:53:00,2020-02-01 10:37:00,8
2020-02-01 10:37:00,2020-02-01 20:59:00,7
2020-02-01 20:59:00,2020-02-01 21:17:00,9
2020-02-01 21:17:00,2020-02-01 23:18:00,10
2020-02-01 23:18:00,2020-02-02 05:11:00,9
2020-02-02 05:11:00,2020-02-02 05:42:00,9
2020-02-02 05:42:00,2020-02-02 11:23:00,8
2020-02-02 11:23:00,2020-02-02 19:53:00,7
2020-02-02 19:53:00,2020-02-03 00:08:00,8
2020-02-03 00:08:00,2020-02-03 00:35:00,7
2020-02-03 00:35:00,2020-02-03 00:38:00,8
2020-02-03 00:38:00,2020-02-03 06:53:00,7
2020-02-03 06:53:00,2020-02-03 12:24:00,8
2020-02-03 12:24:00,2020-02-03 12:45:00,7
2020-02-03 12:45:00,2020-02-03 20:53:00,6
2020-02-03 20:53:00,2020-02-04 05:12:00,7
2020-02-04 05:12:00,2020-02-04 07:11:00,6
2020-02-04 07:11:00,2020-02-04 07:32:00,7
2020-02-04 07:32:00,2020-02-04 09:59:00,6
2020-02-04 09:59:00,2020-02-04 13:17:00,7
2020-02-04 13:17:00,2020-02-04 13:47:00,6
2020-02-04 13:47:00,2020-02-04 20:11:00,5
2020-02-04 20:11:00,2020-02-05 01:34:00,6
2020-02-05 01:34:00,2020-02-05 02:05:00,5
2020-02-05 02:05:00,2020-02-05 04:47:00,6
2020-02-05 04:47:00,2020-02-05 05:53:00,7
2020-02-05 05:53:00,2020-02-05 13:59:00,8
2020-02-05 13:59:00,2020-02-05 14:33:00,9
2020-02-05 14:33:00,2020-02-05 15:06:00,8
2020-02-05 15:06:00,2020-02-05 15:29:00,7
2020-02-05 15:29:00,2020-02-05 18:53:00,6
2020-02-05 18:53:00,2020-02-05 20:29:00,7
2020-02-05 20:29:00,2020-02-06 02:50:00,6
2020-02-06 02:50:00,2020-02-06 07:11:00,5
2020-02-06 07:11:00,2020-02-06 08:06:00,6
2020-02-06 08:06:00,2020-02-06 09:35:00,5
2020-02-06 09:35:00,2020-02-06 09:53:00,6
2020-02-06 09:53:00,2020-02-06 10:15:00,7
2020-02-06 10:15:00,2020-02-06 12:11:00,6
2020-02-06 12:11:00,2020-02-06 22:12:00,7
2020-02-06 22:12:00,2020-02-06 22:17:00,6
2020-02-06 22:17:00,2020-02-07 05:15:00,7
2020-02-07 05:15:00,2020-02-07 07:53:00,6
2020-02-07 07:53:00,2020-02-07 10:35:00,7
2020-02-07 10:35:00,2020-02-07 11:05:00,8
2020-02-07 11:05:00,2020-02-07 13:57:00,9
2020-02-07 13:57:00,2020-02-07 17:48:00,8
2020-02-07 17:48:00,2020-02-08 04:50:00,7
2020-02-08 04:50:00,2020-02-08 06:35:00,6
2020-02-08 06:35:00,2020-02-08 09:11:00,7
2020-02-08 09:11:00,2020-02-08 15:23:00,8
2020-02-08 15:23:00,2020-02-08 18:04:00,9
2020-02-08 18:04:00,2020-02-09 03:17:00,8
2020-02-09 03:17:00,2020-02-09 05:17:00,9
2020-02-09 05:17:00,2020-02-09 06:11:00,8
2020-02-09 06:11:00,2020-02-09 07:42:00,9
2020-02-09 07:42:00,2020-02-09 09:47:00,8
2020-02-09 09:47:00,2020-02-09 19:00:00,9
2020-02-09 19:00:00,2020-02-09 21:10:00,8
2020-02-09 21:10:00,2020-02-10 02:35:00,7
2020-02-10 02:35:00,2020-02-10 05:11:00,8
2020-02-10 05:11:00,2020-02-10 05:54:00,9
2020-02-10 05:54:00,2020-02-10 09:35:00,8
2020-02-10 09:35:00,2020-02-10 12:05:00,9
2020-02-10 12:05:00,2020-02-10 19:17:00,10
2020-02-10 19:17:00,2020-02-10 19:47:00,11
2020-02-10 19:47:00,2020-02-10 22:07:00,10
2020-02-10 22:07:00,2020-02-11 01:35:00,9
2020-02-11 01:35:00,2020-02-11 03:23:00,10
2020-02-11 03:23:00,2020-02-11 03:47:00,11
2020-02-11 03:47:00,2020-02-11 07:47:00,12
2020-02-11 07:47:00,2020-02-11 09:11:00,13
2020-02-11 09:11:00,2020-02-11 11:23:00,12
2020-02-11 11:23:00,2020-02-11 12:41:00,13
2020-02-11 12:41:00,2020-02-11 13:20:00,14
2020-02-11 13:20:00,2020-02-12 01:42:00,13
2020-02-12 01:42:00,2020-02-12 04:17:00,12
2020-02-12 04:17:00,2020-02-12 08:37:00,13
2020-02-12 08:37:00,2020-02-12 12:23:00,12
2020-02-12 12:23:00,2020-02-12 13:51:00,13
2020-02-12 13:51:00,2020-02-12 16:11:00,12
2020-02-12 16:11:00,2020-02-12 17:05:00,11
2020-02-12 17:05:00,2020-02-13 03:49:00,12
2020-02-13 03:49:00,2020-02-13 09:33:00,11
2020-02-13 09:33:00,2020-02-13 14:47:00,10
2020-02-13 14:47:00,2020-02-13 17:24:00,11
2020-02-13 17:24:00,2020-02-14 07:35:00,10
2020-02-14 07:35:00,2020-02-14 10:12:00,11
2020-02-14 10:12:00,2020-02-14 10:35:00,10
2020-02-14 10:35:00,2020-02-14 12:47:00,9
2020-02-14 12:47:00,2020-02-14 21:23:00,10
2020-02-14 21:23:00,2020-02-15 04:11:00,9
2020-02-15 04:11:00,2020-02-15 05:22:00,10
2020-02-15 05:22:00,2020-02-15 13:08:00,9
2020-02-15 13:08:00,2020-02-15 15:28:00,8
2020-02-15 15:28:00,2020-02-15 16:53:00,7
2020-02-15 16:53:00,2020-02-16 01:03:00,8
2020-02-16 01:03:00,2020-02-16 11:08:00,7
2020-02-16 11:08:00,2020-02-16 13:28:00,6
2020-02-16 13:28:00,2020-02-16 19:41:00,5
2020-02-16 19:41:00,2020-02-17 04:35:00,6
2020-02-17 04:35:00,2020-02-17 04:41:00,7
2020-02-17 04:41:00,2020-02-17 05:53:00,8
2020-02-17 05:53:00,2020-02-17 11:53:00,9
2020-02-17 11:53:00,2020-02-17 12:11:00,8
2020-02-17 12:11:00,2020-02-17 12:23:00,10
2020-02-17 12:23:00,2020-02-17 12:29:00,9
2020-02-17 12:29:00,2020-02-18 00:07:00,10
2020-02-18 00:07:00,2020-02-18 10:59:00,9
2020-02-18 10:59:00,2020-02-18 11:05:00,10
2020-02-18 11:05:00,2020-02-18 12:25:00,11
2020-02-18 12:25:00,2020-02-18 13:53:00,10
2020-02-18 13:53:00,2020-02-18 16:35:00,11
2020-02-18 16:35:00,2020-02-18 20:03:00,12
2020-02-18 20:03:00,2020-02-19 03:05:00,11
2020-02-19 03:05:00,2020-02-19 05:26:00,12
2020-02-19 05:26:00,2020-02-19 20:29:00,11
2020-02-19 20:29:00,2020-02-20 01:46:00,12
2020-02-20 01:46:00,2020-02-20 05:26:00,11
2020-02-20 05:26:00,2020-02-20 07:46:00,10
2020-02-20 07:46:00,2020-02-20 14:47:00,9
2020-02-20 14:47:00,2020-02-20 15:10:00,10
2020-02-20 15:10:00,2020-02-20 22:53:00,9
2020-02-20 22:53:00,2020-02-21 05:27:00,10
2020-02-21 05:27:00,2020-02-21 07:11:00,9
2020-02-21 07:11:00,2020-02-21 15:26:00,10
2020-02-21 15:26:00,2020-02-22 01:23:00,9
2020-02-22 01:23:00,2020-02-22 04:53:00,10
2020-02-22 04:53:00,2020-02-22 05:44:00,11
2020-02-22 05:44:00,2020-02-22 06:11:00,10
2020-02-22 06:11:00,2020-02-22 14:59:00,11
2020-02-22 14:59:00,2020-02-22 16:42:00,12
2020-02-22 16:42:00,2020-02-22 22:23:00,11
2020-02-22 22:23:00,2020-02-23 05:29:00,12
2020-02-23 05:29:00,2020-02-23 11:55:00,11
2020-02-23 11:55:00,2020-02-23 12:35:00,10
2020-02-23 12:35:00,2020-02-23 17:43:00,11
2020-02-23 17:43:00,2020-02-23 19:29:00,10
2020-02-23 19:29:00,2020-02-23 22:35:00,11
2020-02-23 22:35:00,2020-02-24 01:47:00,12
2020-02-24 01:47:00,2020-02-24 05:46:00,13
2020-02-24 05:46:00,2020-02-24 15:17:00,12
2020-02-24 15:17:00,2020-02-24 16:47:00,13
2020-02-24 16:47:00,2020-02-24 18:41:00,14
