Time	Open	High	Low	Close	Volume
2018-11-08 18:00:00	1.79776	1.79793	1.79649	1.79687	8445
2018-11-08 19:00:00	1.79688	1.80044	1.79594	1.80002	16484
2018-11-08 20:00:00	1.80001	1.80069	1.79949	1.80026	10843
2018-11-08 21:00:00	1.80022	1.80052	1.79954	1.79966	3650
2018-11-08 22:00:00	1.79971	1.80092	1.79775	1.80016	5454
2018-11-08 23:00:00	1.80018	1.80033	1.79776	1.79818	5384
2018-11-09 00:00:00	1.79819	1.80035	1.79726	1.80017	7993
2018-11-09 01:00:00	1.80017	1.80224	1.79997	1.80155	12559
2018-11-09 02:00:00	1.80155	1.80215	1.80055	1.80204	10871
2018-11-09 03:00:00	1.80206	1.80249	1.80113	1.80242	8450
2018-11-09 04:00:00	1.80242	1.80276	1.80066	1.80181	10232
2018-11-09 05:00:00	1.80181	1.80224	1.80027	1.80055	12029
2018-11-09 06:00:00	1.80054	1.80138	1.7982	1.7984	13544
2018-11-09 07:00:00	1.79839	1.79962	1.79687	1.79697	13872
2018-11-09 08:00:00	1.79697	1.79789	1.7954	1.79697	14050
2018-11-09 09:00:00	1.79697	1.7979	1.79311	1.7963	14547
2018-11-09 10:00:00	1.79626	1.79773	1.79486	1.79698	11534
2018-11-09 11:00:00	1.79699	1.7987	1.79678	1.79849	12571
2018-11-09 12:00:00	1.79847	1.80055	1.79762	1.79975	10771
2018-11-09 13:00:00	1.79977	1.80021	1.79803	1.79891	14286
2018-11-09 14:00:00	1.79885	1.80075	1.79771	1.80017	14790
2018-11-09 15:00:00	1.80022	1.8016	1.79656	1.79733	15745
2018-11-09 16:00:00	1.7973	1.79735	1.79394	1.79597	16615
2018-11-09 17:00:00	1.79596	1.79705	1.7949	1.7952	13750
2018-11-09 18:00:00	1.79521	1.7969	1.79493	1.79605	9370
2018-11-09 19:00:00	1.79603	1.79701	1.79491	1.79544	10734
2018-11-09 20:00:00	1.79542	1.79579	1.79328	1.79419	14468
2018-11-09 21:00:00	1.7942	1.79539	1.79373	1.79412	4329
2018-11-11 22:00:00	1.78837	1.79115	1.78826	1.79111	3596
2018-11-11 23:00:00	1.79108	1.79147	1.78932	1.79015	8673
2018-11-12 00:00:00	1.7902	1.79206	1.79004	1.79101	6741
2018-11-12 01:00:00	1.79101	1.79122	1.78883	1.78968	8077
2018-11-12 02:00:00	1.78963	1.7898	1.78757	1.78867	6430
2018-11-12 03:00:00	1.78866	1.78961	1.78842	1.78906	6465
2018-11-12 04:00:00	1.78902	1.78986	1.78818	1.78907	6556
2018-11-12 05:00:00	1.78908	1.78953	1.78689	1.78764	9697
2018-11-12 06:00:00	1.78764	1.78901	1.78647	1.78793	10913
2018-11-12 07:00:00	1.78794	1.78852	1.78601	1.78658	14508
2018-11-12 08:00:00	1.78661	1.78798	1.78513	1.7864	16831
2018-11-12 09:00:00	1.78639	1.7868	1.78491	1.7852	14701
2018-11-12 10:00:00	1.78522	1.78556	1.78241	1.78349	13751
2018-11-12 11:00:00	1.78349	1.78762	1.78345	1.78644	14080
2018-11-12 12:00:00	1.78639	1.78682	1.78356	1.78452	11887
2018-11-12 13:00:00	1.78452	1.79034	1.78272	1.79017	13752
2018-11-12 14:00:00	1.79017	1.79332	1.78888	1.79008	14972
2018-11-12 15:00:00	1.79006	1.79034	1.78606	1.78624	13811
2018-11-12 16:00:00	1.78624	1.78732	1.78522	1.78679	13969
2018-11-12 17:00:00	1.78679	1.78697	1.78456	1.78599	11049
2018-11-12 18:00:00	1.78601	1.78727	1.78554	1.78646	9632
2018-11-12 19:00:00	1.78651	1.7882	1.78611	1.78816	9558
2018-11-12 20:00:00	1.78819	1.7897	1.78711	1.78949	12025
2018-11-12 21:00:00	1.78947	1.79145	1.78875	1.79093	5019
2018-11-12 22:00:00	1.79062	1.79181	1.78959	1.79159	5171
2018-11-12 23:00:00	1.79163	1.79192	1.79006	1.79154	6207
2018-11-13 00:00:00	1.79154	1.79384	1.79089	1.79294	8457
2018-11-13 01:00:00	1.79294	1.79294	1.79083	1.79141	9076
2018-11-13 02:00:00	1.79141	1.79178	1.79043	1.79159	8926
2018-11-13 03:00:00	1.79159	1.79208	1.78531	1.7862	13886
2018-11-13 04:00:00	1.78622	1.78686	1.78441	1.78548	10194
2018-11-13 05:00:00	1.78549	1.78628	1.78427	1.7854	10462
2018-11-13 06:00:00	1.78549	1.78752	1.78531	1.78596	9040
2018-11-13 07:00:00	1.78596	1.78703	1.78403	1.78703	15710
2018-11-13 08:00:00	1.787	1.7937	1.78548	1.79321	16794
2018-11-13 09:00:00	1.79318	1.79418	1.79125	1.79154	14728
2018-11-13 10:00:00	1.79153	1.79334	1.78994	1.79245	15203
2018-11-13 11:00:00	1.79245	1.79545	1.79135	1.79497	14447
2018-11-13 12:00:00	1.79488	1.79796	1.79261	1.79711	17688
2018-11-13 13:00:00	1.79708	1.80004	1.79628	1.7968	18528
2018-11-13 14:00:00	1.79679	1.79963	1.79657	1.79784	15103
2018-11-13 15:00:00	1.79779	1.80457	1.79618	1.80274	19283
2018-11-13 16:00:00	1.80275	1.80655	1.79841	1.80482	22200
2018-11-13 17:00:00	1.80482	1.80631	1.80119	1.80143	14209
2018-11-13 18:00:00	1.80143	1.80209	1.79801	1.79918	10559
2018-11-13 19:00:00	1.79918	1.80064	1.79823	1.7984	10002
2018-11-13 20:00:00	1.79844	1.79937	1.79649	1.79652	11906
2018-11-13 21:00:00	1.79657	1.79778	1.79602	1.79624	4568
2018-11-13 22:00:00	1.79479	1.80517	1.79434	1.80505	6719
2018-11-13 23:00:00	1.80504	1.80531	1.79877	1.79982	8365
2018-11-14 00:00:00	1.79982	1.80138	1.79832	1.79937	9400
2018-11-14 01:00:00	1.79941	1.80078	1.79923	1.80046	8684
2018-11-14 02:00:00	1.80046	1.80327	1.80023	1.80182	11103
2018-11-14 03:00:00	1.80187	1.80234	1.79932	1.79991	9475
2018-11-14 04:00:00	1.79992	1.80029	1.79826	1.79961	10281
2018-11-14 05:00:00	1.79967	1.80009	1.79856	1.7992	10285
2018-11-14 06:00:00	1.79925	1.80153	1.79873	1.80096	9724
